债券代码,债券简称,票面利率(%),发行起始日,主承销商,发行人省份,发行人,发行人行业,募集资金用途,债券类型,上市地点,债项评级
112094244.IB,20九江银行(防疫专项)CD022,2.4,2020-03-06,,江西省,九江银行股份有限公司,金融,,同业存单,银行间,
q20030413.IB,20中建材集MTN001,--,2020-03-06,"北京银行股份有限公司,中信银行股份有限公司",北京,中国建材集团有限公司,工业,"本期中期票据基础发行金额10亿元,发行金额上限25亿元,发行人拟安排不低于10%募集资金用于补充发行人下属子公司支持抗疫相关需求,并将剩余的资金用于偿还临近到期的各类有息债务.",一般中期票据,银行间,AAA
q20030407.IB,20甬城投MTN001,--,2020-03-06,"中国工商银行股份有限公司,中国建设银行股份有限公司",浙江省,宁波城建投资控股有限公司,工业,"本期中期票据拟用于偿还发行人存量债务融资工具9亿元(15甬城投PPN001),0.28亿元用于补充发行人子公司因支持疫情防控减免下辖商业体内中小企业租金形成的营运资金缺口.0.72亿元用于补充发行人子公司因支持疫情防控下调下辖商业体内中小企业燃气费以及执行“欠费不停供”燃气费政策形成的营运资金缺口.",一般中期票据,银行间,AAA
d20030528.IB,20亚厦SCP001,--,2020-03-06,浙商银行股份有限公司,浙江省,亚厦控股有限公司,工业,"发行人本期超短期融资券拟募集资金10,000万元,用于归还发行人银行借款8,980万元,其余1,020万元用于疫情防控",超短期融资债券,银行间,
112094245.IB,20东莞农村商业银行(防疫专项)CD065,2.35,2020-03-06,,广东省,东莞农村商业银行股份有限公司,金融,,同业存单,银行间,
112094247.IB,20厦门银行(防疫专项)CD041,2.7,2020-03-06,,福建省,厦门银行股份有限公司,金融,,同业存单,银行间,
112094246.IB,20乐山商行(防疫专项)CD006,2.9,2020-03-06,,四川省,乐山市商业银行股份有限公司,金融,,同业存单,银行间,
112021099.IB,20渤海银行(防疫专项)CD099,2.3,2020-03-06,,天津,渤海银行股份有限公司,金融,,同业存单,银行间,
q20030410.IB,20中燃气MTN001,--,2020-03-06,"中国工商银行股份有限公司,中信证券股份有限公司",香港特别行政区,中国燃气控股有限公司,公用事业,"本期中期票据发行规模为:基础发行规模5亿元,发行金额上限10亿元,募集资金将归集至发行人开立的NRA账户.本期中期票据实际募集资金规模的50%用于偿还发行人及境内子公司有息债务,50%用于补充发行人下属子公司因支持疫情防控而产生的流动资金需求.",一般中期票据,银行间,AAA
112094248.IB,20吉林银行(防疫专项)CD042,2.6,2020-03-06,,吉林省,吉林银行股份有限公司,金融,,同业存单,银行间,
163208.SH,20武金01,--,2020-03-06,"天风证券股份有限公司,海通证券股份有限公司",湖北省,武汉金融控股(集团)有限公司,工业,"本期债券募集资金扣除发行费用后,拟将1.00亿元用于补充公司新冠肺炎疫情防控工作相关的流动资金,剩余募集资金用于偿还公司债务.",一般公司债,上海,AAA
163262.SH,20武金02,--,2020-03-06,"海通证券股份有限公司,天风证券股份有限公司",湖北省,武汉金融控股(集团)有限公司,工业,"本期债券募集资金扣除发行费用后,拟将1.00亿元用于补充公司新冠肺炎疫情防控工作相关的流动资金,剩余募集资金用于偿还公司债务.",一般公司债,上海,AAA
166247.SH,20云控01,--,2020-03-06,五矿证券有限公司,云南省,云南省投资控股集团有限公司,工业,本期债券募集资金总额不超过20亿元（含20亿元），扣除完发行费用后拟全部用于 “新型冠状病毒肺炎”疫情相关项目建设。,私募债,上海,
114677.SZ,20川商01,--,2020-03-06,申万宏源证券承销保荐有限责任公司,,四川省商业投资集团有限责任公司,金融,"本期债券募集资金扣除发行费用后,拟全部用于补充流动资金及公司有息债务偿还,其中不低于10%的募集资金用于补充公司执行肺炎疫情防控医疗物资及生活物资采购(含进口),生产,储备,销售,配送工作的资金等.",私募债,深圳,AAA
114678.SZ,20川商02,--,2020-03-06,申万宏源证券承销保荐有限责任公司,,四川省商业投资集团有限责任公司,金融,"本期债券募集资金扣除发行费用后,拟全部用于补充流动资金及公司有息债务偿还,其中不低于10%的募集资金用于补充公司执行肺炎疫情防控医疗物资及生活物资采购(含进口),生产,储备,销售,配送工作的资金等.",私募债,深圳,AA
d20030522.IB,20粤广业SCP002,--,2020-03-06,中国工商银行股份有限公司,广东省,广东省广业集团有限公司,工业,"发行人本期发行8亿元超短期融资券,其中0.8亿元用于补充发行人下属子公司疫情防控工作开展的流动资金需求;7.2亿元用于偿还到期债务融资工具及金融机构借款.",超短期融资债券,银行间,
163241.SH,20宁证01,--,2020-03-06,东吴证券股份有限公司,江苏省,南京证券股份有限公司,金融,本期债券募集资金为人民币24亿元，扣除发行费用后，全部用于补充公司营运资金。,证券公司债,上海,AAA
012000706.IB,20龙源电力(疫情防控债)SCP001,2.45,2020-03-05,上海浦东发展银行股份有限公司,北京,龙源电力集团股份有限公司,公用事业,"公司本期超短期融资券募集资金5亿元,其中0.5亿元用于补充抗击新型冠状病毒疫情相关湖北地区子公司湖北龙源新能源有限公司(以下简称“湖北龙源”)及龙源保康风力发电有限公司(以下简称“龙源保康”)的流动资金,主要包括日常运营支出,经营场所租赁,员工薪酬发放,风电场生产维护等.4.5亿元用于湖北龙源及龙源保康归还集团委托贷款.",超短期融资债券,银行间,
032000157.IB,20兰州建投(疫情防控债)PPN001,4.7,2020-03-05,"招商银行股份有限公司,中国国际金融股份有限公司",甘肃省,兰州建设投资(控股)集团有限公司,,,定向工具,银行间,
q20030314.IB,20柯桥国资MTN001,--,2020-03-05,"中信建投证券股份有限公司,中信银行股份有限公司",浙江省,绍兴市柯桥区国有资产投资经营集团有限公司,工业,"本期中票基础发行规模为5亿元,发行金额上限为10亿元,发行人将根据本次发行结果将募集资金用于:9亿元用于偿还有息债务,1亿元用于加强柯桥区污水处理防疫基础设施建设及公用事业服务",一般中期票据,银行间,AA+
q20030326.IB,20武港务MTN001,--,2020-03-05,上海浦东发展银行股份有限公司,湖北省,武汉港务集团有限公司,工业,"公司本期发行3亿元中期票据,募集资金中0.3亿元用于补充下属子公司疫情防控的流动资金,2.7亿元用于偿还到期的银行借款",一般中期票据,银行间,AA
d20030319.IB,20恒逸CP003,--,2020-03-05,兴业银行股份有限公司,浙江省,浙江恒逸集团有限公司,材料,"本期短期融资券的发行规模为人民币3亿元,用于补充防控新型冠状病毒肺炎疫情相关的流动资金与偿还拟到期债券",一般短期融资券,银行间,A-1
163255.SH,20建材01,3.18,2020-03-05,"中信证券股份有限公司,光大证券股份有限公司,中信建投证券股份有限公司,中国国际金融股份有限公司",北京,中国建材股份有限公司,材料,本期债券发行规模不超过15亿元，扣除相关发行费用后，不低于10%金额拟用于补充发行人下属子公司疫情防控相关营运资金需求，其余部分拟用于偿还有息债务。,一般公司债,上海,AAA
